ID	LOCAL_ID	LANGUAGE	CONCEPT	INDONESIAN	VALUE	FORM
1	/records/1920981	Seget	dog	anjing	afu	afu
2	/records/1921022	Seget	sea	laut	alegap	aleɡap
3	/records/1921042	Seget	two	dua	ali	ali
4	/records/1921143	Seget	right side	kanan	ananeka	ananeka
5	/records/1921140	Seget	left side	kiri	anawer	anawer
6	/records/1921046	Seget	six	enam	anim	anim
7	/records/1921125	Seget	split (wood)	membelah	arguk	arɡuk
8	/records/1921118	Seget	seek	cari	atung	atuŋ
9	/records/1921063	Seget	full (bucket)	penuh	bak	bak
10	/records/1921134	Seget	wash (clothes)	mencuci	bam	bam
11	/records/1921052	Seget	green	hijau	bera	bera
12	/records/1921067	Seget	large (dog)	besar	beten	beten
13	/records/1921088	Seget	wide (path)	lebar	beten	beten
14	/records/1920968	Seget	heart	jantung	bok	bok
15	/records/1921064	Seget	good (person)	baik	bot	bot
16	/records/1921134	Seget	wash (clothes)	mencuci	bus	bus
17	/records/1921033	Seget	tree	pohon, kayu	bwa	bʷa
18	/records/1921009	Seget	jungle	hutan	bwalo	bʷalo
19	/records/1920969	Seget	leg, foot	kaki	cek agete	cek aɡete
20	/records/1920964	Seget	finger	jari	cek dula	cek dula
21	/records/1920972	Seget	nail (finger)	kuku	cek kedefea	cek kedefea
22	/records/1920966	Seget	hand	tangan	cek lam	cek lam
23	/records/1920977	Seget	tongue	lidah	dal	dal
24	/records/1921065	Seget	heavy (stone)	berat	disok	disok
25	/records/1921080	Seget	straight (stick)	lurus	dolot	dolot
26	/records/1921072	Seget	old (house)	lama	don	don
27	/records/1920959	Seget	bone	tulang	dus	dus
28	/records/1920965	Seget	hair (head)	rambut	enselas	enselas
29	/records/1921129	Seget	suck	isap	fadaf	fadaf
30	/records/1921054	Seget	yellow	kuning	fafit	fafit
31	/records/1921120	Seget	shoot (pig)	memanah	fan	fan
32	/records/1921044	Seget	four	empat	fat	fat
33	/records/1921098	Seget	cut (grass)	membabat	fenes	fenes
34	/records/1921113	Seget	play	bermain	ferin	ferin
35	/records/1921117	Seget	see	lihat	folok	folok
36	/records/1921047	Seget	seven	tujuh	futu	futu
37	/records/1921040	Seget	they	mereka	gai	ɡai
38	/records/1921082	Seget	that	itu	gap	ɡap
39	/records/1921020	Seget	salt	garam	gasi	ɡasi
40	/records/1921110	Seget	hold	pegang	gati	ɡati
41	/records/1921038	Seget	he, she	dia	gau	ɡau
42	/records/1921119	Seget	scratch	garuk	gef	ɡef
43	/records/1920971	Seget	mouth	mulut	gif	ɡif
44	/records/1920976	Seget	teeth	gigi	gifek	ɡifek
45	/records/1920962	Seget	elbow	siku	glen	ɡlen
46	/records/1920990	Seget	mosquito	nyamuk	gonof	ɡonof
47	/records/1921142	Seget	outside	di luar	gule	ɡule
48	/records/1921099	Seget	die	mati	igi	iɡi
49	/records/1921015	Seget	night	malam	in	in
50	/records/1921002	Seget	cloud	awan	inegem	ineɡem
51	/records/1921024	Seget	sky	langit	inegem	ineɡem
52	/records/1920979	Seget	cassowary	kasuari	kable	kable
53	/records/1921100	Seget	dig	gali	kade	kade
54	/records/1921021	Seget	sand	pasir	kajabu	kaɟabu
55	/records/1920956	Seget	back	punggung	kakudus	kakudus
56	/records/1921034	Seget	water	air	kala	kala
