ID,Name,Concepticon_ID,Concepticon_Gloss,Indonesian_Gloss
1_abdomen,abdomen,,,perut
2_back,back,,,punggung
3_blood,blood,,,darah
4_bodyhair,body hair,,,bulu badan
5_bone,bone,,,tulang
6_breast,breast,,,susu
7_ear,ear,,,telinga
8_elbow,elbow,,,siku
9_eye,eye,,,mata
10_finger,finger,,,jari
11_hairhead,hair (head),,,rambut
12_hand,hand,,,tangan
13_head,head,,,kepala
14_heart,heart,,,jantung
15_legfoot,leg/foot,,,kaki
16_meatflesh,meat/flesh,,,daging
17_mouth,mouth,,,mulut
18_nailfinger,nail (finger),,,kuku
19_neck,neck,,,leher
20_nose,nose,,,hidung
21_skin,skin,,,kulit
22_teeth,teeth,,,gigi
23_tongue,tongue,,,lidah
24_bird,bird,,,burung
25_cassowary,cassowary,,,kasuari
26_child,child,,,anak
27_dog,dog,,,anjing
28_father,father,,,bapak
29_female,female,,,perempuan
30_fish,fish,,,ikan
31_fly,fly,,,lalat
32_husband,husband,,,suami
33_leech,leech,,,lintah
34_louse,louse,,,kutu
35_male,male,,,laki-laki
36_mosquito,mosquito,,,nyamuk
37_mother,mother,,,ibu
38_person,person,,,orang
39_pig,pig,,,babi
40_rat,rat,,,tikus
41_snake,snake,,,ular
42_tail,tail,,,ekor
43_wife,wife,,,isteri
44_wing,wing,,,sayap
45_worm,worm,,,cacing (tanah)
46_banana,banana,,,pisang
47_branch,branch,,,cabang
48_cloud,cloud,,,awan
49_egg,egg,,,telur
50_fire,fire,,,api
51_fog,fog,,,kabut
52_fruit,fruit,,,buah
53_garden,garden,,,kebun
54_grass,grass,,,alang-alang
55_house,house,,,rumah
56_jungle,jungle,,,hutan
47_leaf,leaf,,,daun
58_lightning,lightning,,,kilat
59_moon,moon,,,bulan
60_mountain,mountain,,,gunung
61_name,name,,,nama
62_night,night,,,malam
63_path,path,,,jalan
64_rain,rain,,,hujan
65_roof,roof,,,atap
66_rope,rope,,,tali
67_salt,salt,,,garam
68_sand,sand,,,pasir
69_sea,sea,,,laut
70_seed,seed,,,biji
71_sky,sky,,,langit
72_smoke,smoke,,,asap
73_soilearth,soil/earth,,,tanah
74_star,star,,,bintang
75_stone,stone,,,batu
76_stick,stick,,,tongkat
77_sun,sun,,,matahari
78_thorn,thorn,,,duri
79_thunder,thunder,,,guntur
80_tree,tree,,,pohon/kayu
81_water,water,,,air
82_wind,wind,,,angin
83_i,I,,,saya
84_yous,you (s),,,kamu
85_heshe,he/she,,,dia
86_we,we,,,kita
87_they,they,,,mereka
88_one,one,,,satu
89_two,two,,,dua
90_three,three,,,tiga
91_four,four,,,empat
92_five,five,,,lima
93_six,six,,,enam
94_seven,seven,,,tujuh
95_eight,eight,,,delapan
96_nine,nine,,,sembilan
97_ten,ten,,,sepuluh
98_black,black,,,hitam
99_green,green,,,hijau
100_red,red,,,merah
101_yellow,yellow,,,kuning
102_white,white,,,putih
103_all,all,,,semua
104_bluntstick,blunt (stick),,,tumpul
105_coldwind,cold (wind),,,dingin
106_different,different,,,berbeda
107_dirtyhands,dirty (hands),,,kotor
108_drygrass,dry (grass),,,kering
109_evilperson,evil (person),,,jahat
110_fewstones,few (stones),,,sedikit
111_fullbucket,full (bucket),,,penuh
112_goodperson,good (person),,,baik
113_heavystone,heavy (stone),,,berat
114_hotwind,hot (wind),,,panas
115_largedog,large (dog),,,besar
116_longsnake,long (snake),,,panjang
117_many,many,,,banyak
118_narrowpath,narrow (path),,,sempit
119_newhouse,new (house),,,baru
120_not,not,,,tidak
121_oldhouse,old (house),,,lama
122_rottenfruit,rotten (fruit),,,busuk
123_same,same,,,sama
124_sharpstick,sharp (stick),,,tajam
125_shortsnake,short (snake),,,pendek
126_smalldog,small (dog),,,kecil
127_smoothstone,smooth (stone),,,licin
128_soreleg,sore (leg),,,sakit
129_straightstick,straight (stick),,,lurus
130_swollenleg,swollen (leg),,,bengkak
131_that,that,,,itu
123_thickstick,thick (stick),,,tebal
133_thinstick,thin (stick),,,tipis
134_this,this,,,ini
135_trulywelltospeak,truly/well (to speak),,,benar
136_wetsand,wet (sand),,,basah
137_widepath,wide (path),,,lebar
